Ref,Val,Package,PosX,PosY,Rot,Side
"C1","0.1u","C_0603_1608Metric",150.150000,-99.900000,0.000000,top
"C2","4.7u","C_0805_2012Metric",150.250000,-98.100000,0.000000,top
"C3","0.1u","C_0603_1608Metric",160.880000,-87.700000,90.000000,top
"C4","0.1u","C_0603_1608Metric",140.880000,-87.700000,180.000000,top
"C5","10n","C_0402_1005Metric",149.130000,-88.700000,0.000000,top
"D2","USBLC6-2SC6","SOT-23-6",141.380000,-93.450000,0.000000,top
"J1","USB_C_Receptacle_USB2.0_16P","USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal",131.590000,-93.450000,-90.000000,top
"J2","Conn_01x08_Pin","PinHeader_1x08_P2.54mm_Vertical",141.600000,-82.700000,90.000000,top
"J3","Conn_01x08_Pin","PinHeader_1x08_P2.54mm_Vertical",141.550000,-104.200000,90.000000,top
"PWR","LED","LED_0805_2012Metric",139.630000,-96.950000,0.000000,top
"R1","5K1","R_0603_1608Metric",137.380000,-87.200000,0.000000,top
"R2","5K1","R_0603_1608Metric",137.380000,-99.700000,0.000000,top
"R3","1K","R_0603_1608Metric",152.500000,-87.100000,0.000000,top
"R4","1K","R_0603_1608Metric",152.500000,-88.700000,0.000000,top
"R9","47K","R_0603_1608Metric",158.380000,-91.950000,0.000000,top
"R10","47K","R_0603_1608Metric",158.380000,-90.200000,0.000000,top
"R11","27R","R_0603_1608Metric",146.055000,-94.700000,0.000000,top
"R12","27R","R_0603_1608Metric",146.130000,-92.200000,0.000000,top
"R13","10K","R_0603_1608Metric",146.380000,-87.450000,0.000000,top
"R14","15K","R_0603_1608Metric",146.380000,-88.950000,180.000000,top
"R15","270R","R_0603_1608Metric",142.880000,-97.000000,180.000000,top
"RN1_47K","R_47K","R_Array_Convex_4x0603",158.350000,-96.050000,0.000000,top
"U1","FT201XS","SSOP-16_3.9x4.9mm_P0.635mm",150.680000,-93.362500,-90.000000,top
